ddu_numero,estado,archivo_guardado,url
32,alerta,DDU-032.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir32.pdf
57,alerta,DDU-057.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir57.pdf
76,alerta,DDU-076.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir76.pdf
82,alerta,DDU-082.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir82.pdf
87,alerta,DDU-087.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir87.pdf
105,alerta,DDU-105.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir105.pdf
112,alerta,DDU-112.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir112.pdf
115,alerta,DDU-115.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir115.pdf
117,alerta,DDU-117.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir117.pdf
124,alerta,DDU-124.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir124.pdf
129,alerta,DDU-129.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir129.pdf
130,alerta,DDU-130.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir130.pdf
133,alerta,DDU-133.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir133.pdf
135,alerta,DDU-135.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir135.pdf
137,alerta,DDU-137.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir137.pdf
178,alerta,DDU-178.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir178.pdf
