ddu_numero,estado,archivo_guardado,url
7,ok,DDU-007.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/cir7.pdf
32,alerta,DDU-032.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir32.pdf
57,alerta,DDU-057.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir57.pdf
75,ok,DDU-075.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir75.pdf
76,alerta,DDU-076.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir76.pdf
82,alerta,DDU-082.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir82.pdf
87,alerta,DDU-087.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir87.pdf
91,ok,DDU-091.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-91.pdf
105,alerta,DDU-105.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir105.pdf
107,ok,DDU-107.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir107.pdf
109,ok,DDU-109.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir109.pdf
110,ok,DDU-110.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir110.pdf
112,alerta,DDU-112.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir112.pdf
115,alerta,DDU-115.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir115.pdf
117,alerta,DDU-117.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir117.pdf
118,ok,DDU-118.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-118.pdf
124,alerta,DDU-124.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir124.pdf
126,ok,DDU-126.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir126.pdf
129,alerta,DDU-129.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir129.pdf
130,alerta,DDU-130.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir130.pdf
133,alerta,DDU-133.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir133.pdf
135,alerta,DDU-135.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir135.pdf
137,alerta,DDU-137.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir137.pdf
147,ok,DDU-147.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir147.pdf
148,ok,DDU-148.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir148.pdf
155,ok,DDU-155.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir155.pdf
156,ok,DDU-156.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR156.pdf
158,ok,DDU-158.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir158.pdf
160,ok,DDU-160.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir160.pdf
161,ok,DDU-161.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir161.pdf
163,ok,DDU-163.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir163.pdf
165,ok,DDU-165.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-165-Modificada-por-DDU-446.pdf
166,ok,DDU-166.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir166.pdf
168,ok,DDU-168.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-168-Modificado-por-DDU-456-punto3-letras-a-y-b.pdf
169,ok,DDU-169.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir169.pdf
170,ok,DDU-170.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir170.pdf
171,ok,DDU-171.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir171.pdf
175,ok,DDU-175.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR175.pdf
178,alerta,DDU-178.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir178.pdf
180,ok,DDU-180.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR180.pdf
181,ok,DDU-181.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR181.pdf
182,ok,DDU-182.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR-182.pdf
184,ok,DDU-184.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR184.pdf
185,ok,DDU-185.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR185.pdf
188,ok,DDU-188.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir188.pdf
189,ok,DDU-189.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir189.pdf
192,ok,DDU-192.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-192.pdf
194,ok,DDU-194.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir194.pdf
195,ok,DDU-195.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir195.pdf
197,ok,DDU-197.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir197.pdf
198,ok,DDU-198.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir198.pdf
204,ok,DDU-204.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir204.pdf
205,ok,DDU-205.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir205.pdf
208,ok,DDU-208.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-208.pdf
212,ok,DDU-212.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir212.pdf
217,ok,DDU-217.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir217.pdf
218,ok,DDU-218.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-218-modificada-por-DDU-287-Y-DDU-455.pdf
219,ok,DDU-219.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-219-modificada-por-DDU-455.pdf
220,ok,DDU-220.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir220.pdf
221,ok,DDU-221.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir221.pdf
222,ok,DDU-222.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir222.pdf
223,ok,DDU-223.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU223.pdf
224,ok,DDU-224.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU224.pdf
225,ok,DDU-225.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir225.pdf
226,ok,DDU-226.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir226.pdf
227,ok,DDU-227.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-227.pdf
230,ok,DDU-230.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU230.pdf
231,ok,DDU-231.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/Cir-231.pdf
234,ok,DDU-234.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR-234.pdf
235,ok,DDU-235.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR-235.pdf
236,ok,DDU-236.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR-236.pdf
239,ok,DDU-239.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/CIR-239.pdf
241,ok,DDU-241.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-241.pdf
252,ok,DDU-252.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-252.pdf
254,ok,DDU-254.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-254.pdf
255,ok,DDU-255.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-255.pdf
256,ok,DDU-256.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-256.pdf
260,ok,DDU-260.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-260.pdf
266,ok,DDU-266.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-266.pdf
267,ok,DDU-267.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-267-modificada-por-DDU-455.pdf
269,ok,DDU-269.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-269.pdf
270,ok,DDU-270.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-270.pdf
271,ok,DDU-271.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-271-modificada-por-DDU-300.pdf
272,ok,DDU-272.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-272.pdf
273,ok,DDU-273.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-273.pdf
274,ok,DDU-274.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-274.pdf
277,ok,DDU-277.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-277.pdf
278,ok,DDU-278.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-278.pdf
279,ok,DDU-279.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-279-Modificada-por-DDU-433.pdf
280,ok,DDU-280.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-280.pdf
282,ok,DDU-282.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-282.pdf
283,ok,DDU-283.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-283.pdf
284,ok,DDU-284.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-284-modificada-por-DDU-525.pdf
286,ok,DDU-286.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-286.pdf
287,ok,DDU-287.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-287.pdf
288,ok,DDU-288.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-288.pdf
291,ok,DDU-291.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-291.pdf
292,ok,DDU-292.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-292.pdf
294,ok,DDU-294.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-294.pdf
296,ok,DDU-296.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-296.pdf
297,ok,DDU-297.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-297.pdf
298,ok,DDU-298.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-298-.pdf
299,ok,DDU-299.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-299.pdf
300,ok,DDU-300.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-300.pdf
301,ok,DDU-301.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-301.pdf
304,ok,DDU-304.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-304.pdf
305,ok,DDU-305.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-305.pdf
306,ok,DDU-306.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-306.pdf
310,ok,DDU-310.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-310.pdf
311,ok,DDU-311.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-311.pdf
312,ok,DDU-312.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-312.pdf
313,ok,DDU-313.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-313.pdf
315,ok,DDU-315.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-315-modificada-por-DDU-489.pdf
317,ok,DDU-317.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-317.pdf
318,ok,DDU-318.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-318.pdf
319,ok,DDU-319.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-319.pdf
320,ok,DDU-320.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-320.pdf
322,ok,DDU-322.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-322-Modificada-por-DDU-456-´puntos-2-y-4..pdf
323,ok,DDU-323.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-323.pdf
324,ok,DDU-324.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-324.pdf
325,ok,DDU-325.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-325.pdf
326,ok,DDU-326.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-326.pdf
327,ok,DDU-327.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-327.pdf
328,ok,DDU-328.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-328.pdf
329,ok,DDU-329.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-329.pdf
331,ok,DDU-331.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-331.pdf
332,ok,DDU-332.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-332.pdf
333,ok,DDU-333.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-333.pdf
334,ok,DDU-334.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-334.pdf
335,ok,DDU-335.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-335.pdf
336,ok,DDU-336.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-336.pdf
337,ok,DDU-337.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-337.pdf
338,ok,DDU-338.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-338.pdf
340,ok,DDU-340.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-340.pdf
342,ok,DDU-342.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-342.pdf
343,ok,DDU-343.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-343.pdf
344,ok,DDU-344.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-344.pdf
345,ok,DDU-345.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-345.pdf
346,ok,DDU-346.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-346.pdf
348,ok,DDU-348.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-348.pdf
350,ok,DDU-350.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-350.pdf
351,ok,DDU-351.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-351.pdf
352,ok,DDU-352.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-352.pdf
353,ok,DDU-353.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-353-modificada-por-DDU-447.pdf
354,ok,DDU-354.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-354.pdf
355,ok,DDU-355.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-355.pdf
356,ok,DDU-356.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-356.pdf
357,ok,DDU-357.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-357.pdf
358,ok,DDU-358.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-358.pdf
359,ok,DDU-359.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-359.pdf
361,ok,DDU-361.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-361.pdf
363,ok,DDU-363.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-363.pdf
364,ok,DDU-364.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-364.pdf
365,ok,DDU-365.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-365.pdf
366,ok,DDU-366.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-366.pdf
367,ok,DDU-367.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-367.pdf
368,ok,DDU-368.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-368.pdf
369,ok,DDU-369.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-369-modificada-por-DDU-390.pdf
370,ok,DDU-370.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-370.pdf
371,ok,DDU-371.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-371-modificada-por-DDU-447-y-DDU-476-odm_jovi.pdf
372,ok,DDU-372.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-372.pdf
373,ok,DDU-373.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-373.pdf
374,ok,DDU-374.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-374-modificada-por-DDU-390-y-complementada-por-DDU-425-..pdf
375,ok,DDU-375.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-375.pdf
376,ok,DDU-376.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-376.pdf
377,ok,DDU-377.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-377.pdf
378,ok,DDU-378.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-378.pdf
380,ok,DDU-380.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-380.pdf
381,ok,DDU-381.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-381.pdf
382,ok,DDU-382.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-382.pdf
383,ok,DDU-383.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-383.pdf
384,ok,DDU-384.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-384.pdf
385,ok,DDU-385.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-385.pdf
386,ok,DDU-386.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-386.pdf
388,ok,DDU-388.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-388.pdf
389,ok,DDU-389.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-389.pdf
390,ok,DDU-390.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-390.pdf
391,ok,DDU-391.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-391.pdf
395,ok,DDU-395.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-395.pdf
396,ok,DDU-396.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-396.pdf
398,ok,DDU-398.pdf,https://www.minvu.gob.cl/wp-content/uploads/2019/06/DDU-398-con-numero-Modificada-por-DDU-440-AVC.pdf
