numero_dictamen,anio,fecha,tipo_dictamen,organo_origen,materia_principal,materia_secundaria,cluster_tematico,etapa_afectada,normas_principales,normas_secundarias,organos_involucrados,tipo_incidencia,efecto_practico,riesgo_si_se_omite,relevancia,estado_interpretativo,fuente_oficial_url,fuentes_secundarias,cadena_relacionados,observaciones,fecha_ultima_verificacion,origen_harvesting
8518,2006,2006-02-20,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",,,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/113D86498B8800A4842571BD004AB3FF,,,,2026-06-02,
E14360,2025,2025-01-28,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",,,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/37DA7FC946F1DCED84258C23004A4F6E,,,,2026-06-02,
27507,2009,2009-05-27,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",,,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/1631A284DD17091C842575C500734520,,,,2026-06-02,
23683,2017,2017-06-29,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",,,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/04114E61EAED704184258152004F6533,,,,2026-06-02,
3272,2020,2020-02-05,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",,,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/AEF5078AF13885DF842585070053DD45,,,,2026-06-02,
E126162,2021,2021-08-02,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",,,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/712FB671F5801C1484258726006CC389,,,,2026-06-02,
E58945,2020,2020-12-11,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",,,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/77C9E047F02569678425863F0064EF55,,,,2026-06-02,
9443,2000,2000-03-17,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",DOM sin competencia para autorizar subdivisiones de predios rurales — Art. 55 LGUC,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/5566970965D36296842571BD004AE1EA,,,,2026-06-02,
2663,2003,2003-01-22,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",DOM sin atribución para cambio de uso de suelo en terrenos rurales — Art. 55 LGUC,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/335D1698FB52DFBE842571BD004960D5,,,,2026-06-02,
30457,2016,2016-04-22,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Organismo competente para emitir informe previo favorable en construcciones rurales — Art. 55 inc. final LGUC,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/CE891F819E63099003257FA2006D3CB8,,,,2026-06-02,
E39766,2020,2020-09-30,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Áreas de preservación ecológica en IPT constituyen áreas bajo protección oficial para efectos del SEIA (Art. 10 letra p Ley 19.300),LEY-19300,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/287D38817E674CA9842585F5006242F7,,,,2026-06-02,
E422376,2023,2023-11-30,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Predios subdivididos bajo DL 3.516 quedan sujetos a prohibición de cambio de destino del Art. 55 LGUC — DOM debe exigir autorizaciones SEREMI + SAG,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/3CFC06A109C78B2684258A780045F85E,,,,2026-06-02,
90563,2016,2016-12-19,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Permiso de edificación,factibilidad de servicios,proyección de sombras y evaluación ambiental — alcance de la DOM al otorgar permisos,LEY-19300,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/1FF17C4C4787419703258091006C65AC,,,,2026-06-02,
32846,2019,2019-12-23,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Juridicidad de permisos de edificación: medidas de gestión,control de calidad e inspector técnico de obras (ITO) en edificios de uso público,LGUC,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/B953ADD2F7497DAD842584E000552CAB,,,,2026-06-02,
32357,2006,2006-07-11,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Vigencia del anteproyecto de loteo,edificación o urbanización: normas aplicables y plazo para obtener permiso definitivo (Art. 116 inc. 8 LGUC),LGUC,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/C9F0F45FD1A23480842571BD004FA90D,,,,2026-06-02,
